Unnamed: 0,tweet_id,favorite_count,retweet_count
700,783466772167098368,8605,2290
701,783391753726550016,17178,5594
702,783347506784731136,0,5658
703,783334639985389568,29673,11910
704,783085703974514689,8298,2241
705,782969140009107456,24550,7518
706,782747134529531904,7610,1438
707,782722598790725632,17581,5494
708,782598640137187329,7932,1910
709,782305867769217024,16932,5682
710,782021823840026624,0,6328
711,781955203444699136,11306,3439
712,781661882474196992,10606,2775
713,781655249211752448,4060,1147
714,781524693396357120,21077,5665
715,781308096455073793,7260,2593
716,781251288990355457,8566,2117
717,781163403222056960,9971,2786
718,780931614150983680,21996,7446
719,780858289093574656,7304,2046
720,780800785462489090,5578,1326
721,780601303617732608,12307,3402
722,780543529827336192,6406,1770
723,780496263422808064,0,3766
724,780476555013349377,0,115
725,780459368902959104,5376,1096
726,780192070812196864,8845,2285
727,780092040432480260,0,2336
728,780074436359819264,12386,5058
729,779834332596887552,19207,7172
730,779377524342161408,8940,3164
731,779124354206535695,0,18630
732,779056095788752897,14996,4602
733,778990705243029504,20279,7333
734,778774459159379968,0,10067
735,778764940568104960,881,366
736,778748913645780993,6993,1336
737,778650543019483137,5858,1528
738,778624900596654080,4710,1025
739,778408200802557953,13815,4405
740,778396591732486144,0,12448
741,778383385161035776,5930,1120
742,778286810187399168,10534,3355
743,778039087836069888,8628,2687
744,778027034220126208,6649,1641
745,777953400541634568,0,3582
746,777885040357281792,6443,1651
747,777684233540206592,11402,2982
748,777641927919427584,0,4299
749,777621514455814149,8878,2538
750,777189768882946048,14473,4369
751,776819012571455488,0,13905
752,776813020089548800,4943,1231
753,776477788987613185,8948,2826
754,776249906839351296,0,9279
755,776218204058357768,30336,16107
756,776201521193218049,9754,2548
757,776113305656188928,11936,4424
758,776088319444877312,1863,153
759,775898661951791106,0,16784
760,775842724423557120,11879,2694
761,775733305207554048,14048,4044
762,775729183532220416,13164,4661
763,775364825476165632,7497,3016
764,775350846108426240,10304,3960
765,775085132600442880,15762,4808
766,774757898236878852,8717,1813
767,774639387460112384,6826,1755
768,774314403806253056,22060,5607
769,773985732834758656,10874,3929
770,773922284943896577,6479,1770
771,773704687002451968,6691,1649
772,773670353721753600,5414,1330
773,773547596996571136,22397,6261
774,773336787167145985,0,5157
775,773308824254029826,23608,7573
776,773247561583001600,9572,3288
777,773191612633579521,10108,4202
778,772877495989305348,8681,3936
779,772826264096874500,8165,2381
780,772615324260794368,0,3427
781,772581559778025472,6577,1718
782,772193107915964416,6112,1410
783,772152991789019136,3844,1147
784,772117678702071809,3821,750
785,772114945936949249,2757,473
786,772102971039580160,4049,951
787,771908950375665664,6659,1930
788,771770456517009408,12153,3429
789,771500966810099713,8350,2642
790,771380798096281600,10611,5157
791,771171053431250945,0,7572
792,771136648247640064,9257,2969
793,771102124360998913,6309,1458
794,771014301343748096,6963,1678
795,770787852854652928,4983,1216
796,770772759874076672,5237,1430
797,770655142660169732,7418,1788
798,770414278348247044,6387,2126
799,770293558247038976,6308,1501
800,770093767776997377,0,3097
801,770069151037685760,7678,2324
802,769940425801170949,31699,9689
