,model,displ,cyl,trans,drive,fuel,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway
375,FORD F150,3.3,6,SemiAuto-6,4WD,Gasoline,pickup,5.0,17.0,22.0,19.0,3,No
376,FORD F150,3.3,6,SemiAuto-6,4WD,Gasoline,pickup,5.0,18.0,23.0,20.0,4,No
377,FORD F150,3.5,6,SemiAuto-10,2WD,Gasoline,pickup,5.0,17.0,21.0,19.0,3,No
378,FORD F150,3.5,6,SemiAuto-10,2WD,Gasoline,pickup,5.0,17.0,22.0,19.0,3,No
379,FORD F150,3.5,6,SemiAuto-10,2WD,Gasoline,pickup,5.0,18.0,25.0,21.0,4,No
380,FORD F150,3.5,6,SemiAuto-10,4WD,Gasoline,pickup,5.0,16.0,21.0,18.0,3,No
381,FORD F150,3.5,6,SemiAuto-10,4WD,Gasoline,pickup,5.0,17.0,22.0,19.0,3,No
382,FORD F150,3.5,6,SemiAuto-10,4WD,Gasoline,pickup,5.0,17.0,23.0,19.0,3,No
383,FORD F150,5.0,8,SemiAuto-10,2WD,Gasoline,pickup,3.0,16.0,20.0,17.0,3,No
384,FORD F150,5.0,8,SemiAuto-10,2WD,Gasoline,pickup,3.0,16.0,21.0,18.0,3,No
385,FORD F150,5.0,8,SemiAuto-10,2WD,Gasoline,pickup,3.0,17.0,23.0,19.0,3,No
386,FORD F150,5.0,8,SemiAuto-10,4WD,Gasoline,pickup,3.0,15.0,19.0,17.0,3,No
387,FORD F150,5.0,8,SemiAuto-10,4WD,Gasoline,pickup,3.0,16.0,20.0,17.0,3,No
388,FORD F150,5.0,8,SemiAuto-10,4WD,Gasoline,pickup,3.0,16.0,22.0,18.0,3,No
389,FORD F150 Raptor,3.5,6,SemiAuto-10,4WD,Gasoline,pickup,3.0,15.0,18.0,16.0,2,No
390,FORD F150 XL/XLT,3.0,6,SemiAuto-10,4WD,Diesel,pickup,1.0,21.0,28.0,24.0,4,No
391,FORD Fiesta,1.6,4,AMS-6,2WD,Gasoline,small car,3.0,27.0,37.0,31.0,7,Yes
392,FORD Fiesta,1.6,4,Man-5,2WD,Gasoline,small car,3.0,27.0,35.0,30.0,7,Yes
393,FORD Fiesta ST,1.6,4,Man-6,2WD,Gasoline,small car,3.0,26.0,33.0,29.0,6,No
394,FORD Flex,3.5,6,SemiAuto-6,2WD,Gasoline,standard SUV,3.0,16.0,23.0,19.0,3,No
395,FORD Flex,3.5,6,SemiAuto-6,4WD,Gasoline,standard SUV,3.0,15.0,21.0,17.0,3,No
396,FORD Flex,3.5,6,SemiAuto-6,4WD,Gasoline,standard SUV,3.0,16.0,22.0,18.0,3,No
397,FORD Focus,1.0,3,Man-6,2WD,Gasoline,small car,3.0,30.0,40.0,34.0,8,Yes
398,FORD Focus,1.0,3,SemiAuto-6,2WD,Gasoline,small car,3.0,27.0,38.0,31.0,7,Yes
399,FORD Focus,2.0,4,AMS-6,2WD,Gasoline,small car,7.0,24.0,34.0,28.0,6,No
400,FORD Focus,2.0,4,AutoMan-6,2WD,Gasoline,small car,7.0,26.0,38.0,31.0,7,Yes
401,FORD Focus,2.0,4,Man-5,2WD,Gasoline,small car,7.0,25.0,34.0,28.0,6,No
402,FORD Focus RS,2.3,4,Man-6,4WD,Gasoline,midsize car,3.0,19.0,26.0,22.0,4,No
403,FORD Focus ST,2.0,4,Man-6,2WD,Gasoline,midsize car,3.0,22.0,30.0,25.0,5,No
404,FORD Fusion,1.5,4,SemiAuto-6,2WD,Gasoline,midsize car,7.0,23.0,34.0,27.0,6,No
405,FORD Fusion,2.0,4,SemiAuto-6,2WD,Gasoline,midsize car,5.0,21.0,31.0,25.0,5,No
406,FORD Fusion,2.0,4,SemiAuto-6,4WD,Gasoline,midsize car,5.0,20.0,29.0,23.0,5,No
407,FORD Fusion,2.5,4,Auto-6,2WD,Gasoline,midsize car,5.0,21.0,32.0,25.0,5,No
408,FORD Fusion,2.7,6,SemiAuto-6,4WD,Gasoline,midsize car,5.0,17.0,26.0,20.0,4,No
409,FORD Fusion Hybrid,2.0,4,CVT,2WD,Gasoline,midsize car,7.0,43.0,41.0,42.0,9,Yes
410,FORD GT,3.5,6,AutoMan-7,2WD,Gasoline,small car,3.0,11.0,18.0,14.0,1,No
411,FORD Mustang,2.3,4,Man-6,2WD,Gasoline,small car,5.0,21.0,31.0,25.0,5,No
412,FORD Mustang,2.3,4,SemiAuto-10,2WD,Gasoline,small car,5.0,21.0,32.0,25.0,5,No
413,FORD Mustang,5.0,8,Man-6,2WD,Gasoline,small car,3.0,15.0,25.0,18.0,3,No
414,FORD Mustang,5.0,8,SemiAuto-10,2WD,Gasoline,small car,3.0,16.0,25.0,19.0,3,No
415,FORD Mustang Convertible,2.3,4,Man-6,2WD,Gasoline,small car,5.0,20.0,28.0,23.0,5,No
