,model,displ,cyl,trans,drive,fuel,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway
742,LAND ROVER Range Rover Sport,5.0,8,SemiAuto-8,4WD,Gasoline,standard SUV,3.0,15.0,20.0,16.0,2,No
743,LAND ROVER Range Rover Sport,5.0,8,SemiAuto-8,4WD,Gasoline,standard SUV,3.0,17.0,22.0,19.0,3,No
744,LAND ROVER Range Rover Velar,2.0,4,SemiAuto-8,4WD,Diesel,small SUV,1.0,26.0,30.0,28.0,5,No
745,LAND ROVER Range Rover Velar,2.0,4,SemiAuto-8,4WD,Gasoline,small SUV,7.0,21.0,27.0,23.0,5,No
746,LAND ROVER Range Rover Velar,3.0,6,SemiAuto-8,4WD,Gasoline,small SUV,7.0,18.0,24.0,20.0,4,No
747,LEXUS ES 300h,2.5,4,SCV-6,2WD,Gasoline,midsize car,7.0,40.0,39.0,40.0,9,Yes
748,LEXUS ES 350,3.5,6,SemiAuto-6,2WD,Gasoline,midsize car,3.0,21.0,30.0,24.0,5,No
749,LEXUS GS 300,2.0,4,SemiAuto-8,2WD,Gasoline,midsize car,3.0,22.0,32.0,26.0,5,No
750,LEXUS GS 300 F Sport,2.0,4,SemiAuto-8,2WD,Gasoline,midsize car,3.0,21.0,30.0,24.0,5,No
751,LEXUS GS 350,3.5,6,SemiAuto-6,4WD,Gasoline,midsize car,5.0,19.0,26.0,22.0,4,No
752,LEXUS GS 350,3.5,6,SemiAuto-8,2WD,Gasoline,midsize car,5.0,20.0,28.0,23.0,5,No
753,LEXUS GS 350 F Sport,3.5,6,SemiAuto-8,2WD,Gasoline,midsize car,5.0,19.0,27.0,22.0,4,No
754,LEXUS GS 450h,3.5,6,SCV-8,2WD,Gasoline,midsize car,7.0,29.0,34.0,31.0,7,Yes
755,LEXUS GS F,5.0,8,SemiAuto-8,2WD,Gasoline,small car,5.0,16.0,24.0,19.0,3,No
756,LEXUS GX 460,4.6,8,SemiAuto-6,4WD,Gasoline,standard SUV,3.0,15.0,18.0,16.0,2,No
757,LEXUS IS 300,2.0,4,SemiAuto-8,2WD,Gasoline,small car,3.0,22.0,32.0,26.0,5,No
758,LEXUS IS 300,3.5,6,SemiAuto-6,4WD,Gasoline,small car,5.0,19.0,26.0,22.0,4,No
759,LEXUS IS 350,3.5,6,SemiAuto-6,4WD,Gasoline,small car,5.0,19.0,26.0,22.0,4,No
760,LEXUS IS 350,3.5,6,SemiAuto-8,2WD,Gasoline,small car,5.0,20.0,28.0,23.0,5,No
761,LEXUS LC 500,5.0,8,SemiAuto-10,2WD,Gasoline,small car,5.0,16.0,26.0,19.0,3,No
762,LEXUS LC 500h,3.5,6,SCV-10,2WD,Gasoline,small car,7.0,26.0,35.0,30.0,7,Yes
763,LEXUS LS 500,3.4,6,SemiAuto-10,2WD,Gasoline,midsize car,3.0,19.0,30.0,23.0,5,No
764,LEXUS LS 500,3.4,6,SemiAuto-10,4WD,Gasoline,midsize car,3.0,18.0,27.0,21.0,4,No
765,LEXUS LS 500h,3.5,6,SCV-10,2WD,Gasoline,midsize car,7.0,25.0,33.0,28.0,6,No
766,LEXUS LS 500h,3.5,6,SCV-10,4WD,Gasoline,midsize car,7.0,23.0,31.0,26.0,5,No
767,LEXUS LX 570,5.7,8,SemiAuto-8,4WD,Gasoline,standard SUV,3.0,13.0,18.0,15.0,2,No
768,LEXUS NX 300,2.0,4,SemiAuto-6,2WD,Gasoline,small SUV,3.0,22.0,28.0,25.0,5,No
769,LEXUS NX 300,2.0,4,SemiAuto-6,4WD,Gasoline,small SUV,3.0,22.0,28.0,24.0,5,No
770,LEXUS NX 300 F Sport,2.0,4,SemiAuto-6,4WD,Gasoline,small SUV,3.0,22.0,27.0,24.0,5,No
771,LEXUS NX 300h,2.5,4,SCV-6,4WD,Gasoline,small SUV,7.0,33.0,30.0,31.0,7,Yes
772,LEXUS RC 300,2.0,4,SemiAuto-8,2WD,Gasoline,small car,3.0,22.0,32.0,26.0,5,No
773,LEXUS RC 300,3.5,6,SemiAuto-6,4WD,Gasoline,small car,5.0,18.0,24.0,21.0,4,No
774,LEXUS RC 350,3.5,6,SemiAuto-6,4WD,Gasoline,small car,5.0,18.0,24.0,21.0,4,No
775,LEXUS RC 350,3.5,6,SemiAuto-8,2WD,Gasoline,small car,5.0,20.0,28.0,23.0,5,No
776,LEXUS RC F,5.0,8,SemiAuto-8,2WD,Gasoline,small car,5.0,16.0,25.0,19.0,3,No
777,LEXUS RX 350,3.5,6,SemiAuto-8,2WD,Gasoline,small SUV,5.0,20.0,27.0,23.0,5,No
778,LEXUS RX 350,3.5,6,SemiAuto-8,4WD,Gasoline,small SUV,5.0,19.0,26.0,22.0,4,No
779,LEXUS RX 350 L,3.5,6,SemiAuto-8,2WD,Gasoline,small SUV,5.0,19.0,26.0,22.0,4,No
780,LEXUS RX 350 L,3.5,6,SemiAuto-8,4WD,Gasoline,small SUV,5.0,18.0,25.0,21.0,4,No
781,LEXUS RX 450h,3.5,6,SCV-6,4WD,Gasoline,standard SUV,7.0,31.0,28.0,30.0,7,Yes
782,LEXUS RX 450h L,3.5,6,SCV-6,4WD,Gasoline,standard SUV,7.0,29.0,28.0,29.0,6,No
783,LINCOLN Continental,2.7,6,SemiAuto-6,2WD,Gasoline,large car,5.0,18.0,27.0,21.0,4,No
784,LINCOLN Continental,2.7,6,SemiAuto-6,4WD,Gasoline,large car,5.0,17.0,25.0,20.0,4,No
785,LINCOLN Continental,3.0,6,SemiAuto-6,4WD,Gasoline,large car,5.0,16.0,24.0,19.0,3,No
786,LINCOLN Continental,3.7,6,SemiAuto-6,2WD,Gasoline,large car,3.0,17.0,26.0,20.0,4,No
787,LINCOLN Continental,3.7,6,SemiAuto-6,4WD,Gasoline,large car,3.0,16.0,24.0,19.0,3,No
788,LINCOLN MKC,2.0,4,SemiAuto-6,2WD,Gasoline,small SUV,5.0,21.0,28.0,23.0,5,No
789,LINCOLN MKC,2.0,4,SemiAuto-6,4WD,Gasoline,small SUV,5.0,19.0,25.0,21.0,4,No
790,LINCOLN MKC,2.0,4,SemiAuto-6,4WD,Gasoline,small SUV,5.0,19.0,25.0,22.0,4,No
791,LINCOLN MKC,2.3,4,SemiAuto-6,4WD,Gasoline,small SUV,3.0,18.0,25.0,20.0,4,No
792,LINCOLN MKT,3.5,6,SemiAuto-6,4WD,Gasoline,standard SUV,3.0,15.0,21.0,17.0,3,No
793,LINCOLN MKT,3.7,6,SemiAuto-6,2WD,Gasoline,standard SUV,3.0,16.0,24.0,19.0,3,No
794,LINCOLN MKT Limo,3.5,6,Auto-6,4WD,Gasoline,special purpose,1.0,14.0,21.0,16.0,2,No
795,LINCOLN MKT Livery,3.7,6,Auto-6,4WD,Gasoline,special purpose,3.0,16.0,23.0,18.0,3,No
796,LINCOLN MKX,2.7,6,SemiAuto-6,2WD,Gasoline,small SUV,5.0,18.0,25.0,20.0,4,No
797,LINCOLN MKX,2.7,6,SemiAuto-6,4WD,Gasoline,small SUV,5.0,17.0,24.0,19.0,3,No
798,LINCOLN MKX,3.7,6,SemiAuto-6,2WD,Gasoline,small SUV,3.0,17.0,25.0,20.0,4,No
799,LINCOLN MKX,3.7,6,SemiAuto-6,4WD,Gasoline,small SUV,3.0,16.0,23.0,19.0,3,No
800,LINCOLN MKZ,2.0,4,SemiAuto-6,2WD,Gasoline,midsize car,5.0,21.0,31.0,24.0,5,No
801,LINCOLN MKZ,2.0,4,SemiAuto-6,4WD,Gasoline,midsize car,5.0,20.0,28.0,23.0,5,No
802,LINCOLN MKZ,3.0,6,SemiAuto-6,2WD,Gasoline,midsize car,5.0,18.0,27.0,21.0,4,No
803,LINCOLN MKZ,3.0,6,SemiAuto-6,4WD,Gasoline,midsize car,5.0,17.0,26.0,20.0,4,No
804,LINCOLN MKZ Hybrid,2.0,4,CVT,2WD,Gasoline,midsize car,7.0,41.0,38.0,40.0,9,Yes
805,LINCOLN Navigator,3.5,6,SemiAuto-10,2WD,Gasoline,standard SUV,5.0,16.0,23.0,19.0,3,No
806,LINCOLN Navigator,3.5,6,SemiAuto-10,4WD,Gasoline,standard SUV,5.0,16.0,21.0,18.0,3,No
807,LINCOLN Navigator L,3.5,6,SemiAuto-10,2WD,Gasoline,standard SUV,5.0,16.0,22.0,18.0,3,No
808,LOTUS Evora,3.5,6,Man-6,2WD,Gasoline,small car,1.0,16.0,24.0,19.0,3,No
809,LOTUS Evora,3.5,6,SemiAuto-6,2WD,Gasoline,small car,1.0,17.0,24.0,20.0,4,No
810,MASERATI Ghibli,3.0,6,Auto-8,2WD,Gasoline,midsize car,1.0,17.0,24.0,19.0,3,No
811,MASERATI Ghibli S,3.0,6,Auto-8,2WD,Gasoline,midsize car,1.0,16.0,24.0,19.0,3,No
812,MASERATI Ghibli S Q4,3.0,6,Auto-8,4WD,Gasoline,midsize car,1.0,16.0,24.0,19.0,3,No
813,MASERATI Granturismo,4.7,8,Auto-6,2WD,Gasoline,small car,1.0,13.0,21.0,16.0,2,No
814,MASERATI Granturismo Convertible,4.7,8,Auto-6,2WD,Gasoline,small car,1.0,13.0,20.0,15.0,2,No
815,MASERATI Levante,3.0,8,Auto-8,4WD,Gasoline,standard SUV,1.0,14.0,20.0,16.0,2,No
816,MASERATI Levante S,3.0,8,Auto-8,4WD,Gasoline,standard SUV,1.0,14.0,19.0,16.0,2,No
817,MASERATI Quattroporte S,3.0,6,Auto-8,2WD,Gasoline,large car,1.0,16.0,23.0,18.0,3,No
818,MASERATI Quattroporte S Q4,3.0,6,Auto-8,4WD,Gasoline,large car,1.0,16.0,23.0,18.0,3,No
819,MASERATI Quattroporte V8,3.8,8,Auto-8,2WD,Gasoline,large car,1.0,15.0,22.0,17.0,3,No
820,MAZDA 2,1.5,4,Man-6,2WD,Gasoline,small car,3.0,30.0,39.0,34.0,8,Yes
821,MAZDA 2,1.5,4,SemiAuto-6,2WD,Gasoline,small car,3.0,32.0,40.0,35.0,8,Yes
822,MAZDA 3,2.0,4,Man-6,2WD,Gasoline,midsize car,7.0,27.0,37.0,31.0,7,Yes
823,MAZDA 3,2.0,4,Man-6,2WD,Gasoline,small car,7.0,28.0,38.0,31.0,7,Yes
824,MAZDA 3,2.0,4,SemiAuto-6,2WD,Gasoline,midsize car,7.0,28.0,37.0,32.0,7,Yes
825,MAZDA 3,2.0,4,SemiAuto-6,2WD,Gasoline,small car,7.0,28.0,37.0,31.0,7,Yes
826,MAZDA 3,2.5,4,Man-6,2WD,Gasoline,midsize car,3.0,25.0,33.0,28.0,6,No
827,MAZDA 3,2.5,4,Man-6,2WD,Gasoline,small car,3.0,25.0,34.0,29.0,6,No
828,MAZDA 3,2.5,4,SemiAuto-6,2WD,Gasoline,midsize car,7.0,26.0,35.0,30.0,7,Yes
829,MAZDA 3,2.5,4,SemiAuto-6,2WD,Gasoline,small car,7.0,27.0,36.0,30.0,7,Yes
830,MAZDA 6,2.5,4,Man-6,2WD,Gasoline,midsize car,7.0,24.0,33.0,27.0,6,No
831,MAZDA 6,2.5,4,SemiAuto-6,2WD,Gasoline,midsize car,7.0,26.0,35.0,29.0,6,No
832,MAZDA 6,2.5,4,SemiAuto-6,2WD,Gasoline,midsize car,3.0,23.0,31.0,26.0,5,No
833,MAZDA CX-3,2.0,4,SemiAuto-6,2WD,Gasoline,small car,3.0,29.0,34.0,31.0,7,Yes
834,MAZDA CX-3,2.0,4,SemiAuto-6,4WD,Gasoline,small car,3.0,27.0,32.0,29.0,6,No
835,MAZDA CX-5 2WD,2.2,4,SemiAuto-6,2WD,Diesel,small SUV,1.0,28.0,31.0,29.0,5,No
836,MAZDA CX-5 2WD,2.5,4,SemiAuto-6,2WD,Gasoline,small SUV,7.0,25.0,31.0,28.0,6,No
837,MAZDA CX-5 4WD,2.2,4,SemiAuto-6,4WD,Diesel,small SUV,1.0,27.0,30.0,28.0,5,No
838,MAZDA CX-5 4WD,2.5,4,SemiAuto-6,4WD,Gasoline,small SUV,7.0,24.0,30.0,26.0,5,No
839,MAZDA CX-9,2.5,4,SemiAuto-6,2WD,Gasoline,small SUV,3.0,22.0,28.0,24.0,5,No
840,MAZDA CX-9,2.5,4,SemiAuto-6,4WD,Gasoline,small SUV,3.0,20.0,26.0,23.0,5,No
841,MAZDA MX-5,2.0,4,Man-6,2WD,Gasoline,small car,3.0,26.0,33.0,29.0,6,No
842,MAZDA MX-5,2.0,4,SemiAuto-6,2WD,Gasoline,small car,3.0,26.0,35.0,29.0,6,No
843,MERCEDES-BENZ AMG C63,4.0,8,Auto-7,2WD,Gasoline,small car,5.0,17.0,22.0,19.0,3,No
844,MERCEDES-BENZ AMG C63,4.0,8,Auto-7,2WD,Gasoline,small car,5.0,17.0,23.0,19.0,3,No
845,MERCEDES-BENZ AMG C63,4.0,8,Auto-7,2WD,Gasoline,small car,5.0,18.0,24.0,20.0,4,No
846,MERCEDES-BENZ AMG C63 S,4.0,8,Auto-7,2WD,Gasoline,small car,5.0,17.0,22.0,19.0,3,No
847,MERCEDES-BENZ AMG C63 S,4.0,8,Auto-7,2WD,Gasoline,small car,5.0,17.0,23.0,19.0,3,No
848,MERCEDES-BENZ AMG C63 S,4.0,8,Auto-7,2WD,Gasoline,small car,5.0,18.0,24.0,20.0,4,No
849,MERCEDES-BENZ AMG CLA45 4Matic,2.0,4,AutoMan-7,4WD,Gasoline,small car,3.0,23.0,30.0,26.0,5,No
850,MERCEDES-BENZ AMG CLS63 4Matic,5.5,8,Auto-7,4WD,Gasoline,small car,3.0,16.0,22.0,18.0,3,No
851,MERCEDES-BENZ AMG E63 S 4Matic,4.0,8,Auto-9,4WD,Gasoline,midsize car,5.0,15.0,22.0,18.0,3,No
852,MERCEDES-BENZ AMG E63 S 4Matic,4.0,8,Auto-9,4WD,Gasoline,station wagon,5.0,16.0,22.0,18.0,3,No
853,MERCEDES-BENZ AMG G63,5.5,8,Auto-7,4WD,Gasoline,standard SUV,3.0,12.0,15.0,13.0,1,No
854,MERCEDES-BENZ AMG G65,6.0,12,Auto-7,4WD,Gasoline,standard SUV,3.0,11.0,13.0,12.0,1,No
855,MERCEDES-BENZ AMG GLA45 4Matic,2.0,4,AutoMan-7,4WD,Gasoline,station wagon,3.0,22.0,28.0,25.0,5,No
856,MERCEDES-BENZ AMG GLC63 4Matic,4.0,8,Auto-9,4WD,Gasoline,small SUV,5.0,16.0,22.0,18.0,3,No
857,MERCEDES-BENZ AMG GLC63 S 4Matic,4.0,8,Auto-9,4WD,Gasoline,small SUV,5.0,16.0,22.0,18.0,3,No
858,MERCEDES-BENZ AMG GLE 43 4Matic,3.0,6,Auto-9,4WD,Gasoline,standard SUV,3.0,17.0,22.0,19.0,3,No
859,MERCEDES-BENZ AMG GLE 43 4Matic,3.0,6,Auto-9,4WD,Gasoline,standard SUV,3.0,17.0,23.0,19.0,3,No
860,MERCEDES-BENZ AMG GLE63,5.5,8,Auto-7,4WD,Gasoline,standard SUV,3.0,14.0,18.0,15.0,2,No
861,MERCEDES-BENZ AMG GLE63 S,5.5,8,Auto-7,4WD,Gasoline,standard SUV,3.0,14.0,18.0,15.0,2,No
862,MERCEDES-BENZ AMG GLS63,5.5,8,Auto-7,4WD,Gasoline,standard SUV,3.0,13.0,18.0,15.0,2,No
863,MERCEDES-BENZ AMG GT,4.0,8,AutoMan-7,2WD,Gasoline,small car,5.0,16.0,21.0,18.0,3,No
864,MERCEDES-BENZ AMG GT,4.0,8,AutoMan-7,2WD,Gasoline,small car,5.0,16.0,22.0,18.0,3,No
865,MERCEDES-BENZ AMG GT C,4.0,8,AutoMan-7,2WD,Gasoline,small car,5.0,15.0,20.0,17.0,3,No
866,MERCEDES-BENZ AMG GT R,4.0,8,AutoMan-7,2WD,Gasoline,small car,5.0,15.0,20.0,17.0,3,No
867,MERCEDES-BENZ AMG GT S,4.0,8,AutoMan-7,2WD,Gasoline,small car,5.0,16.0,22.0,18.0,3,No
868,MERCEDES-BENZ AMG S63 4Matic,4.0,8,Auto-9,4WD,Gasoline,large car,5.0,17.0,26.0,20.0,4,No
869,MERCEDES-BENZ AMG S63 4Matic,4.0,8,Auto-9,4WD,Gasoline,small car,5.0,15.0,24.0,18.0,3,No
870,MERCEDES-BENZ AMG S63 4Matic,4.0,8,Auto-9,4WD,Gasoline,small car,5.0,17.0,27.0,20.0,4,No
871,MERCEDES-BENZ AMG S65,6.0,12,Auto-7,2WD,Gasoline,large car,3.0,13.0,22.0,16.0,2,No
872,MERCEDES-BENZ AMG S65,6.0,12,Auto-7,2WD,Gasoline,small car,3.0,13.0,21.0,16.0,2,No
873,MERCEDES-BENZ AMG S65,6.0,12,Auto-7,2WD,Gasoline,small car,3.0,14.0,21.0,16.0,2,No
874,MERCEDES-BENZ AMG SL63,5.5,8,Auto-7,2WD,Gasoline,small car,3.0,16.0,25.0,19.0,3,No
875,MERCEDES-BENZ AMG SL65,6.0,12,Auto-7,2WD,Gasoline,small car,3.0,13.0,22.0,16.0,2,No
876,MERCEDES-BENZ C300,2.0,4,Auto-9,2WD,Gasoline,small car,5.0,22.0,29.0,25.0,5,No
877,MERCEDES-BENZ C300,2.0,4,Auto-9,2WD,Gasoline,small car,5.0,22.0,30.0,25.0,5,No
878,MERCEDES-BENZ C300,2.0,4,Auto-9,2WD,Gasoline,small car,5.0,24.0,33.0,27.0,6,No
879,MERCEDES-BENZ C300 4Matic,2.0,4,Auto-9,4WD,Gasoline,small car,5.0,22.0,29.0,25.0,5,No
880,MERCEDES-BENZ C300 4Matic,2.0,4,Auto-9,4WD,Gasoline,small car,5.0,22.0,30.0,25.0,5,No
881,MERCEDES-BENZ C300 4Matic,2.0,4,Auto-9,4WD,Gasoline,small car,5.0,23.0,32.0,26.0,5,No
882,MERCEDES-BENZ CLA250,2.0,4,AutoMan-7,2WD,Gasoline,small car,5.0,24.0,37.0,29.0,6,No
883,MERCEDES-BENZ CLA250 4Matic,2.0,4,AutoMan-7,4WD,Gasoline,small car,5.0,24.0,32.0,27.0,6,No
884,MERCEDES-BENZ CLS550,4.7,8,Auto-9,2WD,Gasoline,small car,3.0,18.0,26.0,21.0,4,No
885,MERCEDES-BENZ CLS550 4Matic,4.7,8,Auto-9,4WD,Gasoline,small car,3.0,17.0,25.0,20.0,4,No
886,MERCEDES-BENZ E300,2.0,4,Auto-9,2WD,Gasoline,midsize car,5.0,22.0,30.0,25.0,5,No
887,MERCEDES-BENZ E300 4Matic,2.0,4,Auto-9,4WD,Gasoline,midsize car,5.0,21.0,29.0,24.0,5,No
888,MERCEDES-BENZ G550,4.0,8,Auto-7,4WD,Gasoline,standard SUV,3.0,11.0,11.0,11.0,1,No
889,MERCEDES-BENZ G550,4.0,8,Auto-7,4WD,Gasoline,standard SUV,3.0,13.0,14.0,13.0,1,No
890,MERCEDES-BENZ GLA 250,2.0,4,AutoMan-7,2WD,Gasoline,small SUV,5.0,24.0,33.0,27.0,6,No
891,MERCEDES-BENZ GLA250 4Matic,2.0,4,AutoMan-7,4WD,Gasoline,small SUV,5.0,23.0,31.0,26.0,5,No
892,MERCEDES-BENZ GLC 300,2.0,4,Auto-9,2WD,Gasoline,small SUV,5.0,22.0,28.0,24.0,5,No
893,MERCEDES-BENZ GLC 300 4Matic,2.0,4,Auto-9,4WD,Gasoline,small SUV,5.0,21.0,28.0,24.0,5,No
894,MERCEDES-BENZ GLC 300 4Matic,2.0,4,Auto-9,4WD,Gasoline,small SUV,5.0,22.0,27.0,24.0,5,No
895,MERCEDES-BENZ GLE350,3.5,6,Auto-7,2WD,Gasoline,standard SUV,3.0,18.0,23.0,20.0,4,No
896,MERCEDES-BENZ GLE350 4Matic,3.5,6,Auto-7,4WD,Gasoline,standard SUV,3.0,18.0,22.0,19.0,3,No
897,MERCEDES-BENZ GLS450 4Matic,3.0,6,Auto-9,4WD,Gasoline,standard SUV,3.0,17.0,22.0,19.0,3,No
898,MERCEDES-BENZ GLS550 4Matic,4.7,8,Auto-9,4WD,Gasoline,standard SUV,3.0,14.0,19.0,16.0,2,No
899,MERCEDES-BENZ Maybach S650,6.0,12,Auto-7,2WD,Gasoline,large car,3.0,13.0,21.0,16.0,2,No
900,MERCEDES-BENZ Metris,2.0,4,Auto-7,2WD,Gasoline,special purpose,5.0,19.0,23.0,21.0,4,No
901,MERCEDES-BENZ Metris,2.0,4,Auto-7,2WD,Gasoline,special purpose,5.0,21.0,24.0,22.0,4,No
902,MERCEDES-BENZ S450,3.0,6,Auto-9,2WD,Gasoline,large car,3.0,19.0,28.0,22.0,4,No
903,MERCEDES-BENZ S450 4Matic,3.0,6,Auto-9,4WD,Gasoline,large car,3.0,18.0,28.0,22.0,4,No
904,MERCEDES-BENZ S560,4.0,8,Auto-9,2WD,Gasoline,large car,5.0,17.0,27.0,21.0,4,No
905,MERCEDES-BENZ S560,4.0,8,Auto-9,2WD,Gasoline,small car,5.0,17.0,26.0,20.0,4,No
906,MERCEDES-BENZ S560 4Matic,4.0,8,Auto-9,4WD,Gasoline,large car,5.0,17.0,27.0,21.0,4,No
907,MERCEDES-BENZ S560 4Matic,4.0,8,Auto-9,4WD,Gasoline,small car,5.0,17.0,27.0,21.0,4,No
908,MERCEDES-BENZ S560 4Matic Maybach,4.0,8,Auto-9,4WD,Gasoline,large car,5.0,16.0,25.0,19.0,3,No
909,MERCEDES-BENZ SL450,3.0,6,Auto-9,2WD,Gasoline,small car,3.0,20.0,28.0,23.0,5,No
910,MERCEDES-BENZ SL550,4.7,8,Auto-9,2WD,Gasoline,small car,3.0,17.0,25.0,20.0,4,No
911,MERCEDES-BENZ SLC300,2.0,4,Auto-9,2WD,Gasoline,small car,3.0,25.0,32.0,27.0,6,No
912,MINI Cooper Clubman,1.5,3,Man-6,2WD,Gasoline,midsize car,7.0,24.0,34.0,28.0,6,No
913,MINI Cooper Clubman,1.5,3,SemiAuto-6,2WD,Gasoline,midsize car,7.0,24.0,32.0,27.0,6,No
914,MINI Cooper Clubman All4,1.5,3,Man-6,4WD,Gasoline,midsize car,3.0,22.0,32.0,26.0,5,No
915,MINI Cooper Clubman All4,1.5,3,SemiAuto-8,4WD,Gasoline,midsize car,3.0,23.0,31.0,26.0,5,No
916,MINI Cooper Convertible,1.5,3,Man-6,2WD,Gasoline,small car,7.0,28.0,37.0,32.0,7,Yes
917,MINI Cooper Convertible,1.5,3,SemiAuto-6,2WD,Gasoline,small car,7.0,27.0,35.0,30.0,7,Yes
918,MINI Cooper Countryman,1.5,3,Man-6,2WD,Gasoline,midsize car,3.0,24.0,34.0,28.0,6,No
919,MINI Cooper Countryman,1.5,3,SemiAuto-6,2WD,Gasoline,midsize car,3.0,24.0,32.0,27.0,6,No
920,MINI Cooper Countryman All4,1.5,3,Man-6,4WD,Gasoline,midsize car,3.0,22.0,32.0,26.0,5,No
921,MINI Cooper Countryman All4,1.5,3,SemiAuto-8,4WD,Gasoline,midsize car,3.0,23.0,30.0,25.0,5,No
922,MINI Cooper Hardtop,1.5,3,Man-6,2WD,Gasoline,small car,7.0,28.0,37.0,32.0,7,Yes
923,MINI Cooper Hardtop,1.5,3,Man-6,2WD,Gasoline,small car,7.0,28.0,38.0,32.0,7,Yes
924,MINI Cooper Hardtop,1.5,3,SemiAuto-6,2WD,Gasoline,small car,7.0,27.0,35.0,30.0,7,Yes
925,MINI Cooper S Clubman,2.0,4,Man-6,2WD,Gasoline,midsize car,7.0,22.0,31.0,25.0,5,No
926,MINI Cooper S Clubman,2.0,4,SemiAuto-8,2WD,Gasoline,midsize car,7.0,23.0,32.0,27.0,6,No
927,MINI Cooper S Clubman All4,2.0,4,Man-6,4WD,Gasoline,midsize car,7.0,21.0,30.0,24.0,5,No
928,MINI Cooper S Clubman All4,2.0,4,SemiAuto-8,4WD,Gasoline,midsize car,7.0,22.0,31.0,26.0,5,No
929,MINI Cooper S Convertible,2.0,4,Man-6,2WD,Gasoline,small car,7.0,23.0,32.0,26.0,5,No
930,MINI Cooper S Convertible,2.0,4,SemiAuto-6,2WD,Gasoline,small car,7.0,25.0,33.0,28.0,6,No
931,MINI Cooper S Countryman,2.0,4,SemiAuto-8,2WD,Gasoline,midsize car,7.0,23.0,32.0,27.0,6,No
932,MINI Cooper S Countryman All4,2.0,4,Man-6,4WD,Gasoline,midsize car,7.0,21.0,31.0,24.0,5,No
933,MINI Cooper S Countryman All4,2.0,4,SemiAuto-8,4WD,Gasoline,midsize car,7.0,22.0,31.0,26.0,5,No
934,MINI Cooper S Hardtop,2.0,4,Man-6,2WD,Gasoline,small car,7.0,23.0,32.0,26.0,5,No
935,MINI Cooper S Hardtop,2.0,4,SemiAuto-6,2WD,Gasoline,small car,7.0,25.0,32.0,28.0,6,No
936,MINI JCW Countryman All4,2.0,4,Man-6,4WD,Gasoline,midsize car,3.0,20.0,29.0,24.0,5,No
937,MINI JCW Countryman All4,2.0,4,SemiAuto-8,4WD,Gasoline,midsize car,3.0,22.0,30.0,25.0,5,No
938,MINI John Cooper Works Clubman All4,2.0,4,Man-6,4WD,Gasoline,midsize car,3.0,21.0,31.0,24.0,5,No
939,MINI John Cooper Works Clubman All4,2.0,4,SemiAuto-8,4WD,Gasoline,midsize car,3.0,23.0,31.0,26.0,5,No
940,MINI John Cooper Works Convertible,2.0,4,Man-6,2WD,Gasoline,small car,3.0,22.0,31.0,25.0,5,No
941,MINI John Cooper Works Convertible,2.0,4,SemiAuto-6,2WD,Gasoline,small car,3.0,25.0,33.0,28.0,6,No
942,MINI John Cooper Works Hardtop,2.0,4,Man-6,2WD,Gasoline,small car,3.0,23.0,32.0,26.0,5,No
943,MINI John Cooper Works Hardtop,2.0,4,SemiAuto-6,2WD,Gasoline,small car,3.0,25.0,32.0,28.0,6,No
944,MITSUBISHI Eclipse Cross,1.5,4,SCV-8,2WD,Gasoline,small SUV,5.0,25.0,28.0,26.0,5,No
945,MITSUBISHI Eclipse Cross,1.5,4,SCV-8,4WD,Gasoline,small SUV,5.0,25.0,26.0,25.0,5,No
946,MITSUBISHI Eclipse Cross ES,1.5,4,SCV-8,2WD,Gasoline,small SUV,5.0,26.0,29.0,27.0,6,No
947,MITSUBISHI Eclipse Cross ES,1.5,4,SCV-8,4WD,Gasoline,small SUV,5.0,25.0,28.0,26.0,5,No
948,MITSUBISHI Mirage,1.2,3,CVT,2WD,Gasoline,small car,5.0,37.0,43.0,39.0,9,Yes
949,MITSUBISHI Mirage,1.2,3,Man-5,2WD,Gasoline,small car,5.0,33.0,41.0,36.0,8,Yes
950,MITSUBISHI Mirage G4,1.2,3,CVT,2WD,Gasoline,small car,5.0,35.0,41.0,37.0,8,Yes
951,MITSUBISHI Mirage G4,1.2,3,Man-5,2WD,Gasoline,small car,5.0,33.0,40.0,35.0,8,Yes
952,MITSUBISHI Outlander,2.4,4,SCV-6,2WD,Gasoline,small SUV,5.0,25.0,30.0,27.0,6,No
953,MITSUBISHI Outlander,2.4,4,SCV-6,4WD,Gasoline,small SUV,5.0,24.0,29.0,26.0,5,No
954,MITSUBISHI Outlander,3.0,6,SemiAuto-6,4WD,Gasoline,small SUV,5.0,20.0,27.0,22.0,4,No
955,MITSUBISHI Outlander Sport,2.0,4,Man-5,2WD,Gasoline,small SUV,5.0,23.0,29.0,25.0,5,No
956,MITSUBISHI Outlander Sport,2.0,4,SCV-6,2WD,Gasoline,small SUV,5.0,24.0,30.0,27.0,6,No
957,MITSUBISHI Outlander Sport,2.0,4,SCV-6,4WD,Gasoline,small SUV,5.0,23.0,29.0,26.0,5,No
958,MITSUBISHI Outlander Sport,2.4,4,SCV-6,2WD,Gasoline,small SUV,5.0,23.0,29.0,25.0,5,No
959,MITSUBISHI Outlander Sport,2.4,4,SCV-6,4WD,Gasoline,small SUV,5.0,23.0,28.0,25.0,5,No
